YEAR,SEASON,TAVG_C
1934,Winter,-9.617777777777778
1935,Autumn,1.121978021978022
1935,Spring,-3.407608695652174
1935,Summer,11.505434782608695
1935,Winter,-11.607777777777779
1936,Autumn,-0.18901098901098903
1936,Spring,-2.5402173913043478
1936,Summer,13.997826086956522
1936,Winter,-13.725274725274724
1937,Autumn,0.9505494505494505
1937,Spring,-0.4173913043478262
1937,Summer,14.951086956521738
1937,Winter,-12.805555555555555
1938,Autumn,3.2406593406593402
1938,Spring,-0.6597826086956522
1938,Summer,14.085869565217392
1938,Winter,-7.542222222222222
1939,Autumn,-0.23516483516483522
1939,Spring,-3.4826086956521736
1939,Summer,12.392391304347825
1939,Winter,-12.452222222222222
1940,Autumn,-0.4208791208791208
1940,Spring,-3.9597826086956522
1940,Summer,12.067391304347826
1940,Winter,-16.72747252747253
1941,Autumn,-2.6274725274725275
1941,Spring,-5.506521739130434
1941,Summer,12.494565217391305
1941,Winter,-18.515555555555558
1942,Autumn,-0.8065934065934066
1942,Spring,-5.114130434782608
1942,Summer,11.894565217391303
1942,Winter,-16.54111111111111
1943,Autumn,0.8615384615384616
1943,Spring,-0.6206521739130435
1943,Summer,13.115217391304347
1943,Winter,-10.655555555555555
1944,Autumn,-0.984375
1944,Spring,-3.585869565217391
1944,Summer,11.302173913043477
1944,Winter,-9.042857142857143
1945,Autumn,-2.9384615384615382
1945,Spring,-2.981521739130435
1945,Summer,12.82391304347826
1945,Winter,-13.746666666666668
1946,Autumn,-1.0571428571428572
1946,Spring,-3.2695652173913046
1946,Summer,12.827173913043477
1946,Winter,-10.37111111111111
1947,Autumn,-0.24505494505494493
1947,Spring,-4.434782608695652
1947,Summer,13.76086956521739
1947,Winter,-14.945555555555554
1948,Autumn,0.265934065934066
1948,Spring,-0.16195652173913036
1948,Summer,11.565217391304348
1948,Winter,-11.930769230769231
1949,Autumn,1.910989010989011
1949,Spring,-1.4271739130434782
1949,Summer,10.804347826086957
1949,Winter,-8.921111111111111
1950,Autumn,1.321978021978022
1950,Spring,-0.9336956521739129
1950,Summer,12.519565217391303
1950,Winter,-14.363333333333333
1951,Autumn,-0.23296703296703292
1951,Spring,-2.7880434782608696
1951,Summer,11.830434782608696
1951,Winter,-13.905555555555555
1952,Autumn,-1.7428571428571429
1952,Spring,-2.9153846153846157
1952,Summer,11.717391304347826
1952,Winter,-10.263736263736265
1953,Autumn,0.7824175824175824
1953,Spring,-0.4206521739130434
1953,Summer,14.110869565217392
1953,Winter,-10.998888888888889
1954,Autumn,-0.9593406593406595
1954,Spring,-0.5076086956521739
1954,Summer,12.84891304347826
1954,Winter,-10.215555555555556
1955,Autumn,-2.303296703296703
1955,Spring,-4.9554347826086955
1955,Summer,11.975
1955,Winter,-18.13111111111111
