,ref_temp
0,-5.877342419080068
1,-5.877342419080068
2,-5.877342419080068
3,-5.877342419080068
4,-5.877342419080068
5,-5.877342419080068
6,-5.877342419080068
7,-5.877342419080068
8,-5.877342419080068
9,-5.877342419080068
10,-5.877342419080068
11,-5.877342419080068
12,-5.877342419080068
13,-5.877342419080068
14,-5.877342419080068
15,-5.877342419080068
16,-5.877342419080068
17,-5.877342419080068
18,-5.877342419080068
19,-5.877342419080068
20,-5.877342419080068
21,-5.877342419080068
22,-5.877342419080068
23,-5.877342419080068
24,-5.877342419080068
25,-5.877342419080068
26,-5.877342419080068
27,-5.877342419080068
28,-5.877342419080068
29,-5.877342419080068
30,-5.877342419080068
31,-5.877342419080068
32,-5.877342419080068
33,-5.877342419080068
34,-5.877342419080068
35,-5.877342419080068
36,-5.877342419080068
37,-5.877342419080068
38,-5.877342419080068
39,-5.877342419080068
40,-5.877342419080068
41,-5.877342419080068
42,-5.877342419080068
43,-5.877342419080068
44,-5.877342419080068
45,-5.877342419080068
46,-5.877342419080068
47,-5.877342419080068
48,-5.877342419080068
49,-5.877342419080068
50,-5.877342419080068
51,-5.877342419080068
52,-5.877342419080068
53,-5.877342419080068
54,-5.877342419080068
55,-5.877342419080068
56,-5.877342419080068
57,-5.877342419080068
58,-5.877342419080068
59,-5.877342419080068
60,-5.877342419080068
61,-5.877342419080068
62,-5.877342419080068
63,-5.877342419080068
64,-5.877342419080068
65,-5.877342419080068
66,-6.990482102213946
67,-6.990482102213946
68,-6.990482102213946
69,-6.990482102213946
70,-6.990482102213946
71,-6.990482102213946
72,-6.990482102213946
73,-6.990482102213946
74,-6.990482102213946
75,-6.990482102213946
76,-6.990482102213946
77,-6.990482102213946
78,-6.990482102213946
79,-6.990482102213946
80,-6.990482102213946
81,-6.990482102213946
82,-6.990482102213946
83,-6.990482102213946
84,-6.990482102213946
85,-6.990482102213946
86,-6.990482102213946
87,-6.990482102213946
88,-6.990482102213946
89,-6.990482102213946
90,-6.990482102213946
91,-6.990482102213946
92,-6.990482102213946
93,-6.990482102213946
94,-6.990482102213946
95,-6.990482102213946
96,-6.990482102213946
97,-6.990482102213946
98,-6.990482102213946
99,-6.990482102213946
100,-6.990482102213946
101,-6.990482102213946
102,-6.990482102213946
103,-6.990482102213946
104,-6.990482102213946
105,-6.990482102213946
106,-6.990482102213946
107,-6.990482102213946
108,-6.990482102213946
109,-6.990482102213946
110,-6.990482102213946
111,-6.990482102213946
112,-6.990482102213946
113,-6.990482102213946
114,-6.990482102213946
115,-6.990482102213946
116,-6.990482102213946
117,-6.990482102213946
118,-6.990482102213946
119,-6.990482102213946
120,-6.990482102213946
121,-6.990482102213946
122,-6.990482102213946
123,-6.990482102213946
124,-6.990482102213946
125,-6.990482102213946
126,-6.990482102213946
127,-6.990482102213946
128,-6.990482102213946
129,-6.990482102213946
130,-6.990482102213946
131,-6.990482102213946
132,-3.8412698412698414
133,-3.8412698412698414
134,-3.8412698412698414
135,-3.8412698412698414
136,-3.8412698412698414
137,-3.8412698412698414
